#No.	Label	Name:	R	G	B
0	Unknown	0	0	0	0
1	Primary_Visual_Cortex_L	208	216	117	0
2	Second_Visual_Area_L	231	50	224	0
3	Third_Visual_Area_L	33	58	133	0
4	Fourth_Visual_Area_L	233	44	241	0
5	IntraParietal_Sulcus_Area_1_L	162	59	163	0
6	Area_V3A_L	25	112	245	0
7	Area_V3B_L	72	80	62	0
8	Sixth_Visual_Area_L	140	236	173	0
9	Area_V6A_L	245	110	74	0
10	Seventh_Visual_Area_L	247	48	172	0
11	Fusiform_Face_Complex_L	41	231	178	0
12	Posterior_InferoTemporal_complex_L	248	250	18	0
13	Eighth_Visual_Area_L	245	112	65	0
14	VentroMedial_Visual_Area_1_L	124	29	58	0
15	VentroMedial_Visual_Area_2_L	205	66	171	0
16	VentroMedial_Visual_Area_3_L	37	105	216	0
17	Ventral_Visual_Complex_L	108	152	88	0
18	Area_FST_L	234	67	200	0
19	Area_Lateral_Occipital_1_L	203	154	173	0
20	Area_Lateral_Occipital_2_L	245	182	2	0
21	Area_Lateral_Occipital_3_L	168	57	154	0
22	Medial_Superior_Temporal_Area_L	10	30	99	0
23	Middle_Temporal_Area_L	217	76	234	0
24	Area_PH_L	239	82	1	0
25	Area_V3CD_L	174	109	118	0
26	Area_V4t_L	194	130	109	0
27	Area_1_L	190	22	118	0
28	Area_2_L	101	67	197	0
29	Area_3a_L	168	205	83	0
30	Primary_Sensory_Cortex_L	44	8	201	0
31	Primary_Motor_Cortex_L	181	237	121	0
32	Area_23c_L	9	187	10	0
33	Dorsal_Area_24d_L	71	125	45	0
34	Ventral_Area_24d_L	12	148	185	0
35	Area_5L_L	25	61	121	0
36	Area_5m_L	210	118	39	0
37	Area_5m_ventral_L	178	246	87	0
38	Area_6m_anterior_L	81	140	155	0
39	Area_6mp_L	243	133	49	0
40	Supplementary_and_Cingulate_Eye_Field_L	9	60	189	0
41	Area_55b_L	112	125	62	0
42	Area_6_anterior_L	98	160	234	0
43	Dorsal_area_6_L	196	174	69	0
44	Rostral_Area_6_L	203	101	196	0
45	Ventral_Area_6_L	48	94	49	0
46	Frontal_Eye_Fields_L	125	252	74	0
47	Premotor_Eye_Field_L	114	10	24	0
48	Area_43_L	165	226	147	0
49	Frontal_Opercular_Area_1_L	181	233	175	0
50	Area_OP1-SII_L	193	204	140	0
51	Area_OP2-3-VS_L	71	26	109	0
52	Area_OP4-PV_L	174	67	165	0
53	Area_52_L	168	86	166	0
54	Primary_Auditory_Cortex_L	42	174	174	0
55	Lateral_Belt_Complex_L	31	35	163	0
56	Medial_Belt_Complex_L	128	184	242	0
57	ParaBelt_Complex_L	245	28	54	0
58	Area_PFcm_L	87	167	181	0
59	RetroInsular_Cortex_L	150	127	61	0
60	Auditory_4_Complex_L	58	199	31	0
61	Auditory_5_Complex_L	192	183	155	0
62	Area_STGa_L	66	231	115	0
63	Area_STSd_anterior_L	130	228	117	0
64	Area_STSd_posterior_L	179	86	169	0
65	Area_STSv_anterior_L	228	179	197	0
66	Area_STSv_posterior_L	245	51	90	0
67	Area_TA2_L	140	8	169	0
68	Anterior_Agranular_Insula_Complex_L	36	190	107	0
69	Anterior_Ventral_Insular_Area_L	39	128	215	0
70	Frontal_Opercular_Area_2_L	66	123	213	0
71	Frontal_Opercular_Area_3_L	215	231	66	0
72	Frontal_Opercular_Area_4_L	65	156	157	0
73	Area_Frontal_Opercular_5_L	208	158	149	0
74	Insular_Granular_Complex_L	63	220	138	0
75	Middle_Insular_Area_L	237	206	222	0
76	Para-Insular_Area_L	90	148	68	0
77	Pirform_Cortex_L	51	47	82	0
78	Area_Posterior_Insular_1_L	65	62	31	0
79	Posterior_Insular_Area_2_L	158	227	240	0
80	Hippocampus_L	121	8	165	0
81	PreSubiculum_L	212	43	164	0
82	Entorhinal_Cortex_L	150	250	139	0
83	Perirhinal_Ectorhinal_Cortex_L	141	182	166	0
84	Area_TF_L	234	128	139	0
85	ParaHippocampal_Area_1_L	73	121	184	0
86	ParaHippocampal_Area_2_L	194	16	134	0
87	ParaHippocampal_Area_3_L	193	174	254	0
88	Area_PHT_L	98	11	56	0
89	Area_TE1_anterior_L	145	19	27	0
90	Area_TE1_Middle_L	20	134	28	0
91	Area_TE1_posterior_L	14	25	17	0
92	Area_TE2_anterior_L	136	209	104	0
93	Area_TE2_posterior_L	199	209	115	0
94	Area_TG_dorsal_L	239	185	94	0
95	Area_TG_Ventral_L	34	39	195	0
96	PeriSylvian_Language_Area_L	146	169	161	0
97	Superior_Temporal_Visual_Area_L	120	133	197	0
98	Area_TemporoParietoOccipital_Junction_1_L	4	249	238	0
99	Area_TemporoParietoOccipital_Junction_2_L	86	166	249	0
100	Area_TemporoParietoOccipital_Junction_3_L	42	205	49	0
101	Lateral_Area_7A_L	203	116	36	0
102	Medial_Area_7A_L	80	111	178	0
103	Area_7PC_L	135	211	24	0
104	Lateral_Area_7P_L	43	22	134	0
105	Medial_Area_7P_L	154	34	136	0
106	Anterior_IntraParietal_Area_L	68	45	220	0
107	Area_Lateral_IntraParietal_dorsal_L	167	100	124	0
108	Area_Lateral_IntraParietal_ventral_L	176	213	101	0
109	Medial_IntraParietal_Area_L	191	205	172	0
110	Ventral_IntraParietal_Complex_L	115	16	190	0
111	Area_IntraParietal_0_L	22	102	133	0
112	Area_IntraParietal_1_L	59	135	89	0
113	Area_IntraParietal_2_L	233	107	39	0
114	Area_PF_Complex_L	39	168	150	0
115	Area_PFm_Complex_L	211	161	67	0
116	Area_PF_Opercular_L	138	75	12	0
117	Area_PFt_L	255	111	193	0
118	Area_PGi_L	20	4	62	0
119	Area_PGp_L	113	251	113	0
120	Area_PGs_L	28	43	176	0
121	Area_23d_L	246	28	92	0
122	Area_31a_L	2	95	188	0
123	Area_31pd_L	198	51	101	0
124	Area_31p_ventral_L	209	125	175	0
125	Area_7m_L	222	87	180	0
126	Area_dorsal_23_a+b_L	22	243	113	0
127	Dorsal_Transitional_Visual_Area_L	102	235	5	0
128	PreCuneus_Visual_Area_L	67	14	85	0
129	Parieto-Occipital_Sulcus_Area_1_L	205	189	109	0
130	Parieto-Occipital_Sulcus_Area_2_L	111	69	69	0
131	ProStriate_Area_L	233	108	51	0
132	RetroSplenial_Complex_L	47	140	210	0
133	Area_ventral_23_a+b_L	68	241	110	0
134	Area_10r_L	38	107	227	0
135	Area_10v_L	35	251	100	0
136	Area_25_L	222	77	197	0
137	Area_33_prime_L	148	179	102	0
138	Area_8BM_L	141	170	207	0
139	Area_9_Middle_L	37	138	193	0
140	Area_a24_L	218	179	97	0
141	Anterior_24_prime_L	159	170	56	0
142	Area_anterior_32_prime_L	90	46	202	0
143	Area_dorsal_32_L	131	33	243	0
144	Area_posterior_24_L	103	255	84	0
145	Area_Posterior_24_prime_L	20	44	172	0
146	Area_p32_L	62	9	112	0
147	Area_p32_prime_L	32	144	213	0
148	Posterior_OFC_Complex_L	47	225	197	0
149	Area_s32_L	62	171	43	0
150	Area_10d_L	107	49	220	0
151	Polar_10p_L	13	95	253	0
152	Area_11l_L	231	118	132	0
153	Area_13l_L	241	251	226	0
154	Area_47m_L	126	40	150	0
155	Area_47s_L	125	219	40	0
156	Area_anterior_10p_L	87	165	51	0
157	Orbital_Frontal_Complex_L	230	96	104	0
158	Area_posterior_10p_L	95	49	191	0
159	Area_44_L	29	110	211	0
160	Area_45_L	199	123	202	0
161	Area_47l_(47_lateral)_L	100	31	82	0
162	Area_anterior_47r_L	62	151	137	0
163	Area_IFJa_L	103	58	23	0
164	Area_IFJp_L	25	99	29	0
165	Area_IFSa_L	34	149	35	0
166	Area_IFSp_L	241	65	174	0
167	Area_posterior_47r_L	244	75	127	0
168	Area_46_L	147	158	49	0
169	Area_8Ad_L	16	68	127	0
170	Area_8Av_L	60	211	38	0
171	Area_8B_Lateral_L	91	251	15	0
172	Area_8C_L	210	187	217	0
173	Area_9-46d_L	4	88	143	0
174	Area_9_anterior_L	11	149	238	0
175	Area_9_Posterior_L	44	28	178	0
176	Area_anterior_9-46v_L	166	232	149	0
177	Inferior_6-8_Transitional_Area_L	187	225	208	0
178	Area_posterior_9-46v_L	166	209	225	0
179	Superior_6-8_Transitional_Area_L	115	67	253	0
180	Superior_Frontal_Language_Area_L	140	152	1	0
181	Primary_Visual_Cortex_R	208	216	117	0
182	Second_Visual_Area_R	231	50	224	0
183	Third_Visual_Area_R	33	58	133	0
184	Fourth_Visual_Area_R	233	44	241	0
185	IntraParietal_Sulcus_Area_1_R	162	59	163	0
186	Area_V3A_R	25	112	245	0
187	Area_V3B_R	72	80	62	0
188	Sixth_Visual_Area_R	140	236	173	0
189	Area_V6A_R	245	110	74	0
190	Seventh_Visual_Area_R	247	48	172	0
191	Fusiform_Face_Complex_R	41	231	178	0
192	Posterior_InferoTemporal_complex_R	248	250	18	0
193	Eighth_Visual_Area_R	245	112	65	0
194	VentroMedial_Visual_Area_1_R	124	29	58	0
195	VentroMedial_Visual_Area_2_R	205	66	171	0
196	VentroMedial_Visual_Area_3_R	37	105	216	0
197	Ventral_Visual_Complex_R	108	152	88	0
198	Area_FST_R	234	67	200	0
199	Area_Lateral_Occipital_1_R	203	154	173	0
200	Area_Lateral_Occipital_2_R	245	182	2	0
201	Area_Lateral_Occipital_3_R	168	57	154	0
202	Medial_Superior_Temporal_Area_R	10	30	99	0
203	Middle_Temporal_Area_R	217	76	234	0
204	Area_PH_R	239	82	1	0
205	Area_V3CD_R	174	109	118	0
206	Area_V4t_R	194	130	109	0
207	Area_1_R	190	22	118	0
208	Area_2_R	101	67	197	0
209	Area_3a_R	168	205	83	0
210	Primary_Sensory_Cortex_R	44	8	201	0
211	Primary_Motor_Cortex_R	181	237	121	0
212	Area_23c_R	9	187	10	0
213	Dorsal_Area_24d_R	71	125	45	0
214	Ventral_Area_24d_R	12	148	185	0
215	Area_5L_R	25	61	121	0
216	Area_5m_R	210	118	39	0
217	Area_5m_ventral_R	178	246	87	0
218	Area_6m_anterior_R	81	140	155	0
219	Area_6mp_R	243	133	49	0
220	Supplementary_and_Cingulate_Eye_Field_R	9	60	189	0
221	Area_55b_R	112	125	62	0
222	Area_6_anterior_R	98	160	234	0
223	Dorsal_area_6_R	196	174	69	0
224	Rostral_Area_6_R	203	101	196	0
225	Ventral_Area_6_R	48	94	49	0
226	Frontal_Eye_Fields_R	125	252	74	0
227	Premotor_Eye_Field_R	114	10	24	0
228	Area_43_R	165	226	147	0
229	Frontal_Opercular_Area_1_R	181	233	175	0
230	Area_OP1-SII_R	193	204	140	0
231	Area_OP2-3-VS_R	71	26	109	0
232	Area_OP4-PV_R	174	67	165	0
233	Area_52_R	168	86	166	0
234	Primary_Auditory_Cortex_R	42	174	174	0
235	Lateral_Belt_Complex_R	31	35	163	0
236	Medial_Belt_Complex_R	128	184	242	0
237	ParaBelt_Complex_R	245	28	54	0
238	Area_PFcm_R	87	167	181	0
239	RetroInsular_Cortex_R	150	127	61	0
240	Auditory_4_Complex_R	58	199	31	0
241	Auditory_5_Complex_R	192	183	155	0
242	Area_STGa_R	66	231	115	0
243	Area_STSd_anterior_R	130	228	117	0
244	Area_STSd_posterior_R	179	86	169	0
245	Area_STSv_anterior_R	228	179	197	0
246	Area_STSv_posterior_R	245	51	90	0
247	Area_TA2_R	140	8	169	0
248	Anterior_Agranular_Insula_Complex_R	36	190	107	0
249	Anterior_Ventral_Insular_Area_R	39	128	215	0
250	Frontal_Opercular_Area_2_R	66	123	213	0
251	Frontal_Opercular_Area_3_R	215	231	66	0
252	Frontal_Opercular_Area_4_R	65	156	157	0
253	Area_Frontal_Opercular_5_R	208	158	149	0
254	Insular_Granular_Complex_R	63	220	138	0
255	Middle_Insular_Area_R	237	206	222	0
256	Para-Insular_Area_R	90	148	68	0
257	Pirform_Cortex_R	51	47	82	0
258	Area_Posterior_Insular_1_R	65	62	31	0
259	Posterior_Insular_Area_2_R	158	227	240	0
260	Hippocampus_R	121	8	165	0
261	PreSubiculum_R	212	43	164	0
262	Entorhinal_Cortex_R	150	250	139	0
263	Perirhinal_Ectorhinal_Cortex_R	141	182	166	0
264	Area_TF_R	234	128	139	0
265	ParaHippocampal_Area_1_R	73	121	184	0
266	ParaHippocampal_Area_2_R	194	16	134	0
267	ParaHippocampal_Area_3_R	193	174	254	0
268	Area_PHT_R	98	11	56	0
269	Area_TE1_anterior_R	145	19	27	0
270	Area_TE1_Middle_R	20	134	28	0
271	Area_TE1_posterior_R	14	25	17	0
272	Area_TE2_anterior_R	136	209	104	0
273	Area_TE2_posterior_R	199	209	115	0
274	Area_TG_dorsal_R	239	185	94	0
275	Area_TG_Ventral_R	34	39	195	0
276	PeriSylvian_Language_Area_R	146	169	161	0
277	Superior_Temporal_Visual_Area_R	120	133	197	0
278	Area_TemporoParietoOccipital_Junction_1_R	4	249	238	0
279	Area_TemporoParietoOccipital_Junction_2_R	86	166	249	0
280	Area_TemporoParietoOccipital_Junction_3_R	42	205	49	0
281	Lateral_Area_7A_R	203	116	36	0
282	Medial_Area_7A_R	80	111	178	0
283	Area_7PC_R	135	211	24	0
284	Lateral_Area_7P_R	43	22	134	0
285	Medial_Area_7P_R	154	34	136	0
286	Anterior_IntraParietal_Area_R	68	45	220	0
287	Area_Lateral_IntraParietal_dorsal_R	167	100	124	0
288	Area_Lateral_IntraParietal_ventral_R	176	213	101	0
289	Medial_IntraParietal_Area_R	191	205	172	0
290	Ventral_IntraParietal_Complex_R	115	16	190	0
291	Area_IntraParietal_0_R	22	102	133	0
292	Area_IntraParietal_1_R	59	135	89	0
293	Area_IntraParietal_2_R	233	107	39	0
294	Area_PF_Complex_R	39	168	150	0
295	Area_PFm_Complex_R	211	161	67	0
296	Area_PF_Opercular_R	138	75	12	0
297	Area_PFt_R	255	111	193	0
298	Area_PGi_R	20	4	62	0
299	Area_PGp_R	113	251	113	0
300	Area_PGs_R	28	43	176	0
301	Area_23d_R	246	28	92	0
302	Area_31a_R	2	95	188	0
303	Area_31pd_R	198	51	101	0
304	Area_31p_ventral_R	209	125	175	0
305	Area_7m_R	222	87	180	0
306	Area_dorsal_23_a+b_R	22	243	113	0
307	Dorsal_Transitional_Visual_Area_R	102	235	5	0
308	PreCuneus_Visual_Area_R	67	14	85	0
309	Parieto-Occipital_Sulcus_Area_1_R	205	189	109	0
310	Parieto-Occipital_Sulcus_Area_2_R	111	69	69	0
311	ProStriate_Area_R	233	108	51	0
312	RetroSplenial_Complex_R	47	140	210	0
313	Area_ventral_23_a+b_R	68	241	110	0
314	Area_10r_R	38	107	227	0
315	Area_10v_R	35	251	100	0
316	Area_25_R	222	77	197	0
317	Area_33_prime_R	148	179	102	0
318	Area_8BM_R	141	170	207	0
319	Area_9_Middle_R	37	138	193	0
320	Area_a24_R	218	179	97	0
